pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""26""";"=""w""";"=""27""";"=""28""";"=""29""";"=""VAN Dam- Cramer Eugenie""";"=""17.04.1959""";"=""NED""";"=""48""";"=""47.69""";"=""25""";"=""30""";"=""*35""";"=""30""";"=""35""";"=""40""";"=""*45""";"=""40""";"=""70""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""27""";"=""w""";"=""---""";"=""24""";"=""---""";"=""SAARI Maria""";"=""05.08.1968""";"=""FIN""";"=""48""";"=""47.52""";"=""*55""";"=""*55""";"=""55""";"=""55""";"=""*70""";"=""*70""";"=""*70""";"=""---""";"=""0""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""28""";"=""w""";"=""---""";"=""---""";"=""15""";"=""CHANU Sanamacha Thingbaijani""";"=""02.10.1978""";"=""IND""";"=""48""";"=""47.73""";"=""*75""";"=""*75""";"=""*75""";"=""---""";"=""90""";"=""*95""";"=""*95""";"=""90""";"=""0""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""29""";"=""w""";"=""---""";"=""---""";"=""27""";"=""KATZ Margarita""";"=""30.12.1972""";"=""ISR""";"=""48""";"=""47.94""";"=""*45""";"=""*45""";"=""*50""";"=""---""";"=""55""";"=""57.5""";"=""*62.5""";"=""57.5""";"=""0""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""30""";"=""w""";"=""DSQ""";"=""DSQ""";"=""DSQ""";"=""GONZALES Yulenis """;"=""01.01.1980""";"=""COL""";"=""48""";"=""47.82""";"=""60""";"=""*62.5""";"=""62.5""";"=""---""";"=""*80""";"=""*80""";"=""*80""";"=""---""";"=""0""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""31""";"=""w""";"=""1""";"=""1""";"=""1""";"=""LI Feng-Ying""";"=""01.01.1975""";"=""TPE""";"=""53""";"=""52.66""";"=""90""";"=""92.5""";"=""95""";"=""95""";"=""115""";"=""*121.5""";"=""121.5""";"=""121.5""";"=""215""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""32""";"=""w""";"=""2""";"=""2""";"=""2""";"=""SLAMET Winarni Binti""";"=""01.01.1975""";"=""INA""";"=""53""";"=""52.14""";"=""85""";"=""87.5""";"=""90""";"=""90""";"=""105""";"=""110""";"=""112.5""";"=""112.5""";"=""202.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""33""";"=""w""";"=""3""";"=""8""";"=""3""";"=""WANG Xiufen""";"=""20.02.1974""";"=""CHN""";"=""53""";"=""52.93""";"=""*85""";"=""85""";"=""*90""";"=""85""";"=""110""";"=""112.5""";"=""*117.5""";"=""112.5""";"=""197.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""34""";"=""w""";"=""4""";"=""7""";"=""5""";"=""SUPENI Binti Wasiman""";"=""01.01.1977""";"=""INA""";"=""53""";"=""52.89""";"=""85""";"=""*90""";"=""*90""";"=""85""";"=""*110""";"=""110""";"=""*112.5""";"=""110""";"=""195""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""35""";"=""w""";"=""5""";"=""10""";"=""4""";"=""NAKAGA Mari""";"=""01.01.1975""";"=""JPN""";"=""53""";"=""52.85""";"=""80""";"=""82.5""";"=""*85""";"=""82.5""";"=""105""";"=""*110""";"=""110""";"=""110""";"=""192.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""36""";"=""w""";"=""6""";"=""3""";"=""6""";"=""WIN Swe Swe""";"=""03.12.1975""";"=""MYA""";"=""53""";"=""51.55""";"=""80""";"=""85""";"=""*87.5""";"=""85""";"=""105""";"=""*110""";"=""*110""";"=""105""";"=""190""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""37""";"=""w""";"=""7""";"=""5""";"=""7""";"=""GBODO Franca Pamiendi""";"=""28.08.1982""";"=""NGR""";"=""53""";"=""52.55""";"=""80""";"=""85""";"=""*87.5""";"=""85""";"=""*105""";"=""105""";"=""*110""";"=""105""";"=""190""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""38""";"=""w""";"=""8""";"=""6""";"=""10""";"=""GOAD Robin Elizabeth""";"=""17.01.1970""";"=""USA""";"=""53""";"=""52.58""";"=""80""";"=""85""";"=""*87.5""";"=""85""";"=""97.5""";"=""102.5""";"=""*105""";"=""102.5""";"=""187.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""39""";"=""w""";"=""9""";"=""9""";"=""9""";"=""DRAGNEVA-Rifatova Izabela""";"=""01.10.1971""";"=""BUL""";"=""53""";"=""52.28""";"=""82.5""";"=""*87.5""";"=""*87.5""";"=""82.5""";"=""102.5""";"=""*107.5""";"=""*107.5""";"=""102.5""";"=""185""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""40""";"=""w""";"=""10""";"=""4""";"=""12""";"=""MUANGPHO Taengmo""";"=""29.02.1980""";"=""THA""";"=""53""";"=""52.47""";"=""80""";"=""*85""";"=""85""";"=""85""";"=""95""";"=""100""";"=""*105""";"=""100""";"=""185""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""41""";"=""w""";"=""11""";"=""13""";"=""11""";"=""NANDINI Devi""";"=""01.01.1976""";"=""IND""";"=""53""";"=""52.90""";"=""75""";"=""80""";"=""*85""";"=""80""";"=""97.5""";"=""102.5""";"=""*107.5""";"=""102.5""";"=""182.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""42""";"=""w""";"=""12""";"=""16""";"=""8""";"=""JUAN TELLO Estefania""";"=""17.08.1981""";"=""ESP""";"=""53""";"=""52.92""";"=""75""";"=""*77.5""";"=""*77.5""";"=""75""";"=""100""";"=""102.5""";"=""105""";"=""105""";"=""180""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""43""";"=""w""";"=""13""";"=""11""";"=""14""";"=""FERNANDEZ Beaumont Karla""";"=""01.01.1977""";"=""VEN""";"=""53""";"=""52.80""";"=""*80""";"=""80""";"=""*82.5""";"=""80""";"=""*97.5""";"=""*97.5""";"=""97.5""";"=""97.5""";"=""177.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""44""";"=""w""";"=""14""";"=""14""";"=""13""";"=""HASEGAWA Noriko""";"=""13.09.1969""";"=""JPN""";"=""53""";"=""52.36""";"=""72.5""";"=""75""";"=""77.5""";"=""77.5""";"=""92.5""";"=""97.5""";"=""*100""";"=""97.5""";"=""175""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
